ticker,fund_sector
A,Capital Goods
AA,Capital Goods
AAN,Technology
AAP,Consumer Services
AAT,Consumer Services
AAV,Energy
AB,Finance
ABB,Consumer Durables
ABC,Health Care
ABG,Consumer Durables
ABM,Finance
ABR,Consumer Services
ABT,Health Care
ABV,Consumer Non-Durables
ABX,Basic Industries
ACC,Consumer Services
ACCO,Consumer Durables
ACE,Finance
ACH,Basic Industries
ACI,Energy
ACM,Consumer Services
ACMP,Public Utilities
ACN,Miscellaneous
ACO,Basic Industries
ACRE,Consumer Services
ACTV,Technology
ACW,Capital Goods
ADC,Consumer Services
ADM,Consumer Non-Durables
ADS,Miscellaneous
ADT,Consumer Services
AEB,Finance
AEC,Consumer Services
AED,Finance
AEE,Public Utilities
AEF,Finance
AEG,Finance
AEH,Finance
AEK,Finance
AEL,Finance
AEM,Basic Industries
AEO,Consumer Services
AEP,Public Utilities
AER,Technology
AES,Basic Industries
AET,Health Care
AEV,Finance
AF,Finance
AFA,Finance
AFG,Finance
AFL,Finance
AFQ,Finance
AFSD,Finance
AFW,Finance
AG,Basic Industries
AGCO,Capital Goods
AGM,Finance
AGN,Health Care
AGO,Finance
AGRO,Consumer Non-Durables
AGU,Basic Industries
AH,Consumer Services
AHC,Consumer Services
AHL,Finance
AHS,Health Care
AHT,Consumer Services
AI,Finance
AIG,Finance
AIN,Basic Industries
AIQ,Health Care
AIR,Capital Goods
AIT,Consumer Durables
AIV,Consumer Services
AIZ,Finance
AJG,Finance
AKR,Consumer Services
AKS,Basic Industries
AL,Technology
ALB,Basic Industries
ALDW,Energy
ALE,Public Utilities
ALEX,Finance
ALG,Capital Goods
ALJ,Energy
ALK,Transportation
ALL,Finance
ALR,Health Care
ALSN,Capital Goods
ALU,Public Utilities
ALV,Capital Goods
ALX,Consumer Services
AMBO,Consumer Services
AMD,Technology
AME,Consumer Durables
AMG,Finance
AMID,Public Utilities
AMP,Finance
AMRC,Basic Industries
AMRE,Consumer Services
AMT,Consumer Services
AMTD,Finance
AMTG,Consumer Services
AMX,Public Utilities
AN,Consumer Durables
ANF,Consumer Services
ANFI,Consumer Non-Durables
ANH,Consumer Services
ANN,Consumer Services
ANR,Energy
ANW,Energy
AOI,Consumer Services
AOL,Technology
AON,Finance
AOS,Consumer Durables
AP,Capital Goods
APA,Energy
APC,Energy
APD,Basic Industries
APH,Capital Goods
APL,Public Utilities
APO,Finance
APU,Consumer Services
ARC,Consumer Services
ARCO,Consumer Services
ARE,Consumer Services
ARG,Capital Goods
ARI,Consumer Services
ARL,Finance
ARO,Consumer Services
ARP,Energy
ARR,Consumer Services
ARSD,Energy
ARW,Consumer Non-Durables
ARX,Technology
ASGN,Technology
ASH,Consumer Durables
ASR,Transportation
ASX,Technology
AT,Energy
ATE,Technology
ATI,Basic Industries
ATK,Capital Goods
ATLS,Public Utilities
ATO,Public Utilities
ATR,Consumer Non-Durables
ATU,Technology
ATV,Consumer Services
ATW,Energy
AU,Basic Industries
AUO,Technology
AUQ,Basic Industries
AUY,Basic Industries
AV,Finance
AVA,Public Utilities
AVB,Consumer Services
AVD,Basic Industries
AVG,Technology
AVP,Consumer Non-Durables
AVT,Consumer Non-Durables
AVV,Finance
AVX,Capital Goods
AVY,Consumer Durables
AWC,Capital Goods
AWH,Finance
AWI,Consumer Non-Durables
AWK,Public Utilities
AWR,Public Utilities
AXE,Consumer Non-Durables
AXL,Capital Goods
AXP,Finance
AXR,Finance
AXS,Finance
AYI,Consumer Durables
AYR,Technology
AZN,Health Care
AZO,Consumer Services
AZZ,Consumer Durables
B,Capital Goods
BA,Capital Goods
BAC,Finance
BAH,Consumer Services
BAK,Basic Industries
BALT,Transportation
BAM,Consumer Services
BAP,Finance
BAS,Energy
BAX,Health Care
BBD,Finance
BBDO,Capital Goods
BBG,Energy
BBL,Energy
BBT,Finance
BBVA,Finance
BBW,Consumer Services
BBX,Finance
BBY,Consumer Services
BC,Energy
BCA,Finance
BCE,Public Utilities
BCEI,Energy
BCH,Finance
BCO,Transportation
BCR,Health Care
BCS,Finance
BDC,Basic Industries
BDN,Consumer Services
BDX,Health Care
BEAM,Consumer Non-Durables
BEE,Consumer Services
BEN,Finance
BERY,Consumer Non-Durables
BFR,Finance
BFS,Consumer Services
BG,Consumer Non-Durables
BGC,Basic Industries
BGCA,Finance
BGG,Energy
BGS,Consumer Non-Durables
BH,Consumer Services
BHE,Technology
BHI,Energy
BHLB,Finance
BHP,Basic Industries
BID,Miscellaneous
BIG,Consumer Services
BIN,Public Utilities
BIO,Capital Goods
BIP,Consumer Services
BITA,Technology
BK,Finance
BKD,Health Care
BKE,Consumer Services
BKH,Public Utilities
BKS,Consumer Services
BKU,Finance
BKW,Consumer Services
BLC,Consumer Services
BLK,Finance
BLL,Consumer Durables
BLOX,Technology
BLT,Capital Goods
BLW,Finance
BLX,Finance
BMA,Finance
BMI,Capital Goods
BMO,Finance
BMR,Consumer Services
BMS,Consumer Durables
BMY,Health Care
BNNY,Consumer Non-Durables
BNS,Finance
BOH,Finance
BORN,Consumer Non-Durables
BOXC,Consumer Services
BP,Energy
BPI,Consumer Services
BPL,Energy
BPO,Consumer Services
BPT,Energy
BPZ,Energy
BR,Miscellaneous
BRC,Consumer Durables
BRE,Consumer Services
BRFS,Consumer Non-Durables
BRO,Finance
BRP,Basic Industries
BRS,Transportation
BRT,Consumer Services
BRY,Energy
BSAC,Finance
BSBR,Finance
BSI,Consumer Services
BSMX,Finance
BSX,Health Care
BT,Public Utilities
BTE,Energy
BTH,Health Care
BTU,Energy
BUD,Consumer Non-Durables
BVN,Basic Industries
BWA,Capital Goods
BWC,Energy
BWP,Public Utilities
BWS,Consumer Non-Durables
BX,Finance
BXC,Capital Goods
BXP,Consumer Services
BXS,Finance
BYD,Consumer Services
BYI,Technology
BZ,Consumer Durables
BZH,Capital Goods
BZT,Capital Goods
C,Finance
CAB,Consumer Services
CACI,Technology
CAE,Energy
CAG,Consumer Non-Durables
CAH,Health Care
CAJ,Miscellaneous
CALX,Consumer Services
CAM,Energy
CAP,Technology
CAS,Basic Industries
CAT,Capital Goods
CATO,Consumer Services
CB,Finance
CBB,Public Utilities
CBD,Consumer Services
CBG,Finance
CBI,Basic Industries
CBK,Consumer Services
CBL,Consumer Services
CBM,Health Care
CBR,Technology
CBS,Consumer Services
CBT,Basic Industries
CBU,Finance
CBZ,Miscellaneous
CCC,Basic Industries
CCE,Consumer Non-Durables
CCG,Finance
CCI,Consumer Services
CCJ,Basic Industries
CCK,Consumer Durables
CCL,Consumer Services
CCM,Health Care
CCO,Consumer Services
CCSC,Consumer Services
CCU,Consumer Non-Durables
CCZ,Consumer Services
CDE,Basic Industries
CDI,Technology
CDR,Consumer Services
CE,Basic Industries
CEA,Transportation
CEB,Consumer Services
CEC,Consumer Services
CEL,Public Utilities
CEO,Energy
CF,Basic Industries
CFI,Basic Industries
CFN,Health Care
CFR,Finance
CFX,Capital Goods
CGA,Basic Industries
CGI,Transportation
CGX,Miscellaneous
CHA,Public Utilities
CHC,Public Utilities
CHD,Basic Industries
CHE,Health Care
CHH,Consumer Services
CHK,Energy
CHKR,Energy
CHL,Public Utilities
CHMT,Basic Industries
CHS,Consumer Services
CHSP,Consumer Services
CHT,Public Utilities
CHU,Public Utilities
CI,Health Care
CIA,Finance
CIB,Finance
CIE,Energy
CIG,Public Utilities
CIM,Consumer Services
CIR,Capital Goods
CIS,Technology
CIT,Finance
CJES,Energy
CKH,Transportation
CKP,Consumer Durables
CL,Consumer Non-Durables
CLB,Energy
CLC,Capital Goods
CLD,Energy
CLDT,Consumer Services
CLF,Basic Industries
CLGX,Technology
CLH,Basic Industries
CLI,Consumer Services
CLNY,Consumer Services
CLR,Energy
CLS,Technology
CLW,Basic Industries
CLX,Consumer Durables
CM,Finance
CMA,Finance
CMC,Basic Industries
CMG,Consumer Services
CMI,Energy
CMLP,Public Utilities
CMN,Health Care
CMO,Consumer Services
CMP,Basic Industries
CMRE,Transportation
CMS,Public Utilities
CNA,Finance
CNC,Health Care
CNCO,Consumer Services
CNI,Transportation
CNK,Consumer Services
CNL,Public Utilities
CNO,Finance
CNP,Public Utilities
CNQ,Energy
CNS,Finance
CNW,Transportation
CNX,Energy
CO,Finance
CODE,Technology
CODI,Capital Goods
COF,Finance
COG,Energy
COH,Consumer Non-Durables
COL,Capital Goods
COO,Health Care
COP,Energy
COR,Consumer Services
COT,Consumer Non-Durables
COV,Health Care
CP,Transportation
CPA,Transportation
CPAC,Capital Goods
CPB,Consumer Non-Durables
CPE,Energy
CPF,Finance
CPK,Public Utilities
CPL,Public Utilities
CPN,Public Utilities
CPT,Consumer Services
CQB,Consumer Non-Durables
CR,Capital Goods
CRH,Capital Goods
CRI,Consumer Non-Durables
CRK,Energy
CRL,Health Care
CRM,Technology
CRR,Capital Goods
CRS,Basic Industries
CRT,Energy
CRY,Health Care
CS,Finance
CSC,Technology
CSE,Finance
CSFS,Finance
CSH,Consumer Services
CSL,Basic Industries
CSS,Consumer Services
CSU,Health Care
CSV,Consumer Services
CSX,Transportation
CTB,Consumer Durables
CTC,Finance
CTL,Public Utilities
CTQ,Public Utilities
CTS,Technology
CTU,Public Utilities
CTW,Public Utilities
CTX,Public Utilities
CUB,Capital Goods
CUBE,Consumer Services
CUK,Consumer Services
CUZ,Consumer Services
CVA,Basic Industries
CVB,Finance
CVC,Consumer Services
CVD,Health Care
CVE,Energy
CVG,Technology
CVI,Energy
CVO,Miscellaneous
CVS,Health Care
CVX,Energy
CW,Technology
CWH,Consumer Services
CWHN,Consumer Services
CWHO,Consumer Services
CWT,Public Utilities
CWZ,Finance
CX,Capital Goods
CXO,Energy
CXW,Consumer Services
CYD,Energy
CYH,Health Care
CYN,Finance
CYS,Consumer Services
CYT,Basic Industries
CZZ,Consumer Non-Durables
D,Public Utilities
DAC,Transportation
DAL,Transportation
DAN,Capital Goods
DANG,Consumer Services
DAR,Consumer Non-Durables
DB,Finance
DBD,Miscellaneous
DCE,Finance
DCI,Capital Goods
DCM,Technology
DCO,Capital Goods
DCT,Consumer Services
DD,Basic Industries
DDD,Technology
DDE,Consumer Services
DDR,Consumer Services
DDS,Consumer Services
DDT,Consumer Services
DE,Capital Goods
DEG,Consumer Services
DEI,Consumer Services
DEL,Basic Industries
DEO,Consumer Non-Durables
DF,Consumer Non-Durables
DFS,Finance
DFT,Finance
DG,Consumer Services
DGI,Consumer Services
DGX,Health Care
DHI,Capital Goods
DHR,Capital Goods
DHT,Transportation
DHX,Miscellaneous
DIN,Consumer Services
DIS,Consumer Services
DK,Energy
DKL,Energy
DKS,Consumer Services
DL,Consumer Services
DLB,Technology
DLPH,Capital Goods
DLR,Consumer Services
DLX,Consumer Durables
DM,Miscellaneous
DMD,Technology
DNB,Finance
DNR,Energy
DO,Energy
DOLE,Consumer Non-Durables
DOM,Energy
DOV,Technology
DOW,Basic Industries
DOX,Technology
DPM,Public Utilities
DPS,Consumer Non-Durables
DPZ,Consumer Non-Durables
DQ,Technology
DRC,Energy
DRD,Basic Industries
DRE,Consumer Services
DRH,Consumer Services
DRI,Consumer Services
DRL,Finance
DRQ,Energy
DRU,Public Utilities
DST,Technology
DSW,Consumer Services
DSX,Transportation
DTE,Public Utilities
DTK,Finance
DTQ,Public Utilities
DTT,Finance
DTZ,Public Utilities
DUK,Public Utilities
DV,Consumer Services
DVA,Health Care
DVD,Consumer Services
DVN,Energy
DVR,Energy
DW,Capital Goods
DWRE,Technology
DX,Consumer Services
DXB,Finance
DY,Basic Industries
DYN,Public Utilities
E,Energy
EAA,Public Utilities
EAT,Consumer Services
EBF,Consumer Services
EBR,Public Utilities
EBS,Health Care
EC,Energy
ECA,Energy
ECL,Basic Industries
ECT,Energy
ED,Public Utilities
EDE,Public Utilities
EDG,Basic Industries
EDN,Public Utilities
EDR,Consumer Services
EDT,Public Utilities
EDU,Consumer Services
EE,Public Utilities
EEP,Energy
EEQ,Energy
EFC,Finance
EFM,Public Utilities
EFX,Finance
EGL,Consumer Services
EGN,Energy
EGO,Basic Industries
EGP,Consumer Services
EGY,Energy
EIG,Finance
EIX,Public Utilities
EJ,Finance
EL,Consumer Non-Durables
ELA,Public Utilities
ELB,Public Utilities
ELJ,Public Utilities
ELLI,Technology
ELN,Health Care
ELP,Public Utilities
ELS,Consumer Services
ELX,Technology
ELY,Consumer Non-Durables
EMC,Technology
EME,Capital Goods
EMN,Basic Industries
EMQ,Public Utilities
EMR,Energy
EMZ,Public Utilities
ENB,Energy
END,Energy
ENH,Finance
ENI,Public Utilities
ENL,Consumer Services
ENR,Energy
ENS,Consumer Non-Durables
ENV,Miscellaneous
ENZ,Health Care
EOC,Public Utilities
EOG,Energy
EPAM,Technology
EPB,Public Utilities
EPD,Public Utilities
EPL,Energy
EPR,Consumer Services
EQM,Public Utilities
EQR,Consumer Services
EQT,Public Utilities
EQU,Energy
EQY,Consumer Services
ERF,Energy
ERJ,Capital Goods
ESC,Health Care
ESE,Consumer Durables
ESI,Consumer Services
ESL,Capital Goods
ESS,Consumer Services
ESV,Energy
ETE,Public Utilities
ETH,Consumer Durables
ETM,Consumer Services
ETN,Technology
ETP,Public Utilities
ETR,Public Utilities
EV,Finance
EVC,Consumer Services
EVER,Finance
EVR,Finance
EW,Health Care
EXAM,Health Care
EXC,Public Utilities
EXH,Technology
EXK,Basic Industries
EXL,Consumer Services
EXP,Capital Goods
EXPR,Consumer Services
EXR,Consumer Services
F,Capital Goods
FAC,Finance
FAF,Finance
FBC,Finance
FBHS,Basic Industries
FBP,Finance
FBR,Basic Industries
FC,Consumer Services
FCF,Finance
FCH,Consumer Services
FCN,Consumer Services
FCS,Technology
FCX,Basic Industries
FDO,Consumer Services
FDP,Consumer Non-Durables
FDS,Technology
FDX,Transportation
FE,Public Utilities
FENG,Consumer Services
FET,Energy
FF,Basic Industries
FFG,Finance
FGP,Consumer Services
FHN,Finance
FICO,Miscellaneous
FIG,Finance
FII,Finance
FIO,Technology
FIS,Miscellaneous
FIX,Capital Goods
FL,Consumer Services
FLO,Consumer Non-Durables
FLR,Basic Industries
FLS,Capital Goods
FLT,Miscellaneous
FLTX,Technology
FMC,Basic Industries
FMD,Finance
FMS,Health Care
FMX,Consumer Non-Durables
FN,Public Utilities
FNB,Finance
FNF,Finance
FNP,Consumer Non-Durables
FNV,Basic Industries
FOE,Basic Industries
FOR,Finance
FPO,Consumer Services
FR,Consumer Services
FRF,Finance
FRM,Basic Industries
FRO,Transportation
FRT,Consumer Services
FRX,Health Care
FSL,Technology
FSM,Basic Industries
FSS,Capital Goods
FST,Energy
FTI,Energy
FTK,Basic Industries
FUL,Basic Industries
FUN,Consumer Services
FUR,Consumer Services
FVE,Health Care
FXCM,Finance
G,Consumer Services
GA,Miscellaneous
GAS,Public Utilities
GB,Energy
GBL,Finance
GBX,Capital Goods
GCA,Finance
GCAP,Finance
GCI,Consumer Services
GCO,Consumer Services
GD,Capital Goods
GDOT,Finance
GDP,Energy
GE,Energy
GEB,Finance
GEF,Consumer Durables
GEL,Energy
GEO,Consumer Services
GES,Consumer Non-Durables
GFA,Basic Industries
GFF,Capital Goods
GFI,Basic Industries
GFIG,Finance
GG,Basic Industries
GGB,Capital Goods
GGG,Capital Goods
GGP,Consumer Services
GGS,Energy
GHL,Finance
GIB,Consumer Services
GIL,Consumer Non-Durables
GIS,Consumer Non-Durables
GJH,Finance
GJK,Finance
GJO,Finance
GJS,Finance
GJT,Finance
GJV,Finance
GKM,Finance
GLF,Energy
GLOG,Consumer Services
GLP,Energy
GLT,Basic Industries
GLW,Basic Industries
GM,Capital Goods
GME,Consumer Services
GMED,Health Care
GMK,Consumer Non-Durables
GMT,Consumer Services
GNC,Consumer Non-Durables
GNE,Public Utilities
GNI,Basic Industries
GNK,Transportation
GNRC,Consumer Durables
GNW,Finance
GOL,Transportation
GOM,Finance
GOV,Finance
GPC,Capital Goods
GPI,Consumer Durables
GPK,Consumer Durables
GPN,Miscellaneous
GPS,Consumer Services
GPX,Consumer Services
GRA,Basic Industries
GRO,Consumer Non-Durables
GRT,Consumer Services
GS,Finance
GSE,Capital Goods
GSF,Finance
GSH,Transportation
GSI,Capital Goods
GSJ,Finance
GSK,Health Care
GSL,Transportation
GT,Consumer Durables
GTI,Energy
GTN,Consumer Services
GTS,Finance
GTY,Finance
GUA,Public Utilities
GVA,Basic Industries
GWAY,Technology
GWR,Transportation
GWRE,Technology
GWRU,Transportation
GWW,Consumer Services
GXP,Public Utilities
GY,Basic Industries
GYB,Finance
GYC,Finance
GZT,Finance
H,Consumer Services
HAE,Health Care
HAL,Energy
HAR,Consumer Non-Durables
HSBC,Finance
HBI,Consumer Services
HBM,Basic Industries
HCA,Health Care
HCC,Finance
HCI,Finance
HCLP,Basic Industries
HCN,Consumer Services
HCP,Consumer Services
HSEA,Finance
HD,Consumer Services
HDB,Finance
HDY,Energy
HE,Public Utilities
HEI,Capital Goods
HEP,Energy
HES,Energy
HF,Consumer Services
HFC,Energy
HGG,Consumer Services
HGH,Finance
HGR,Health Care
HGT,Energy
HHC,Consumer Services
HHS,Technology
HI,Consumer Durables
HIG,Finance
HII,Capital Goods
HIL,Consumer Services
HIW,Consumer Services
HJJ,Finance
HJN,Finance
HJR,Finance
HJV,Finance
HK,Energy
HL,Basic Industries
HLF,Health Care
HLS,Health Care
HLX,Energy
HMA,Health Care
HMC,Capital Goods
HME,Consumer Services
HMN,Finance
HMY,Basic Industries
HNI,Consumer Durables
HNP,Public Utilities
HNR,Energy
HNT,Health Care
HOG,Consumer Non-Durables
HON,Capital Goods
HOS,Consumer Services
HOT,Consumer Services
HOV,Capital Goods
HOVU,Capital Goods
HP,Energy
HPP,Finance
HPQ,Technology
HPT,Consumer Services
HPY,Miscellaneous
HR,Consumer Services
HRB,Consumer Services
HRC,Health Care
HRG,Energy
HRL,Consumer Non-Durables
HRS,Capital Goods
HSC,Capital Goods
HSH,Consumer Non-Durables
HSP,Health Care
HST,Consumer Services
HSY,Consumer Non-Durables
HT,Consumer Services
HTA,Consumer Services
HTH,Finance
HTS,Consumer Services
HTSI,Consumer Services
HTZ,Consumer Services
HUM,Health Care
HUN,Basic Industries
HVB,Finance
HVT,Consumer Services
HW,Capital Goods
HXL,Basic Industries
HXM,Basic Industries
HY,Capital Goods
HYL,Finance
HZO,Consumer Services
IAG,Basic Industries
IBA,Consumer Non-Durables
IBM,Technology
IBN,Finance
ICA,Basic Industries
ICE,Finance
IDA,Public Utilities
IDG,Finance
IDT,Public Utilities
IEX,Capital Goods
IFF,Basic Industries
IFT,Finance
IGK,Finance
IGT,Consumer Durables
IHC,Finance
IHS,Technology
IL,Technology
IM,Technology
IMAX,Miscellaneous
IMN,Technology
IMPV,Technology
IND,Finance
ING,Finance
INGR,Consumer Non-Durables
INN,Consumer Services
INT,Energy
INVN,Technology
INXN,Technology
INZ,Finance
IO,Energy
IOC,Energy
IP,Basic Industries
IPG,Technology
IPHI,Technology
IPI,Basic Industries
IR,Capital Goods
IRC,Consumer Services
IRE,Finance
IRF,Technology
IRM,Consumer Services
IRS,Consumer Services
ISF,Finance
ISG,Finance
ISH,Transportation
ISP,Finance
ISS,Technology
IT,Consumer Services
ITC,Public Utilities
ITG,Finance
ITT,Capital Goods
ITUB,Finance
ITW,Technology
IVC,Health Care
IVR,Consumer Services
IVZ,Finance
IX,Finance
JAH,Consumer Durables
JBI,Finance
JBJ,Finance
JBK,Finance
JBL,Technology
JBN,Finance
JBO,Finance
JBR,Finance
JBT,Technology
JCI,Consumer Durables
JCP,Consumer Services
JE,Public Utilities
JEC,Basic Industries
JHX,Capital Goods
JKS,Technology
JLL,Finance
JMI,Consumer Services
JMP,Finance
JNJ,Health Care
JNPR,Technology
JNS,Finance
JNY,Consumer Non-Durables
JOE,Consumer Services
JOY,Energy
JPM,Finance
JRN,Consumer Services
JWN,Consumer Services
JZC,Finance
JZJ,Finance
JZK,Finance
JZL,Finance
JZT,Finance
JZV,Finance
K,Consumer Non-Durables
KAI,Technology
KAMN,Consumer Durables
KAR,Consumer Durables
KB,Finance
KBH,Capital Goods
KBR,Basic Industries
KCC,Finance
KCG,Finance
KEG,Energy
KEM,Capital Goods
KEP,Public Utilities
KEX,Consumer Services
KEY,Finance
KFH,Finance
KFI,Finance
KFN,Finance
KFS,Finance
KFY,Technology
KGC,Basic Industries
KHI,Consumer Services
KID,Consumer Durables
KIM,Consumer Services
KKD,Consumer Non-Durables
KKR,Finance
KMB,Consumer Durables
KMG,Basic Industries
KMI,Public Utilities
KMP,Public Utilities
KMPR,Finance
KMR,Energy
KMT,Capital Goods
KMX,Consumer Durables
KND,Health Care
KNL,Consumer Durables
KNM,Technology
KNX,Transportation
KO,Consumer Non-Durables
KOF,Consumer Non-Durables
KOG,Energy
KOP,Basic Industries
KORS,Consumer Non-Durables
KOS,Energy
KR,Consumer Services
KRA,Basic Industries
KRC,Consumer Services
KRG,Consumer Services
KRO,Basic Industries
KS,Basic Industries
KSS,Consumer Services
KSU,Transportation
KT,Public Utilities
KTH,Finance
KTN,Finance
KTP,Finance
KW,Finance
KWK,Energy
KWR,Basic Industries
KYO,Technology
L,Finance
LAD,Consumer Durables
LAS,Consumer Durables
LAZ,Finance
LCC,Transportation
LDK,Technology
LDL,Capital Goods
LDR,Capital Goods
LEA,Capital Goods
LEE,Consumer Services
LEG,Consumer Durables
LEN,Basic Industries
LF,Consumer Non-Durables
LFC,Finance
LFL,Transportation
LG,Public Utilities
LGF,Consumer Services
LGP,Energy
LH,Health Care
LHO,Consumer Services
LII,Capital Goods
LL,Consumer Services
LLL,Technology
LLY,Health Care
LM,Finance
LMT,Capital Goods
LNC,Finance
LND,Consumer Non-Durables
LNKD,Technology
LNN,Capital Goods
LNT,Public Utilities
LO,Consumer Non-Durables
LOCK,Technology
LOW,Consumer Services
LPI,Energy
LPL,Capital Goods
LPS,Miscellaneous
LPX,Basic Industries
LRE,Energy
LRN,Consumer Services
LRY,Consumer Services
LSE,Consumer Services
LSI,Technology
LTC,Consumer Services
LB,Consumer Services
LTM,Consumer Services
LUB,Consumer Services
LUK,Consumer Non-Durables
LUV,Transportation
LUX,Health Care
LVLT,Public Utilities
LVS,Consumer Services
LXFR,Basic Industries
LXK,Technology
LXP,Consumer Services
LXU,Basic Industries
LYB,Basic Industries
LYG,Finance
LYV,Consumer Services
LZB,Consumer Durables
M,Consumer Services
MA,Miscellaneous
MAA,Consumer Services
MAC,Consumer Services
MAN,Technology
MANU,Consumer Services
MAR,Consumer Services
MAS,Basic Industries
MATX,Consumer Services
MBI,Finance
MBT,Public Utilities
MCD,Consumer Services
MCK,Health Care
MCO,Finance
MCP,Basic Industries
MCS,Consumer Services
MCY,Finance
MD,Health Care
MDC,Capital Goods
MDP,Consumer Services
MDR,Capital Goods
MDT,Health Care
MDU,Basic Industries
MED,Consumer Non-Durables
MEG,Consumer Services
MEI,Capital Goods
MET,Finance
MFA,Consumer Services
MFC,Finance
MFG,Finance
MFO,Consumer Services
MG,Consumer Services
MGA,Capital Goods
MGI,Miscellaneous
MGM,Consumer Services
MGR,Finance
MHK,Consumer Durables
MHNA,Finance
MHNB,Finance
MHO,Capital Goods
MHR,Energy
MIC,Energy
MIG,Finance
MIL,Finance
MILL,Energy
MJN,Consumer Non-Durables
MKC,Consumer Non-Durables
MKL,Finance
MLG,Finance
MLI,Capital Goods
MLM,Basic Industries
MLP,Finance
MLR,Capital Goods
MLU,Finance
MM,Technology
MMC,Finance
